,,% aged 16-64 who are EA core or work-limiting disabled,,,,% aged 16-64 who are EA core disabled,,,,% aged 16-64 who are work-limited core disabled,,,,% aged 16-64 who are not disabled,,,,Economic activity rate aged 16-64 - EA core or work-limiting disabled,,,,Economic activity rate aged 16-64 - EA core disabled,,,,Economic activity rate aged 16-64 - work-limiting disabled,,,,Economic activity rate aged 16-64 - not EA core or work-limiting disabled,,,,Employment rate aged 16-64 - EA core or work-limiting disabled,,,,Employment rate aged 16-64 - EA core disabled,,,,Employment rate aged 16-64 - work-limiting disabled,,,,Employment rate aged 16-64 - not EA core or work-limiting disabled,,,,Unemployment rate aged 16-64 - EA core or work-limiting disabled,,,,Unemployment rate aged 16-64 - EA core disabled,,,,Unemployment rate aged 16-64 - work-limiting disabled,,,,Unemployment rate aged 16-64 - not EA core or work-limiting disabled,,,,% economically inactive aged 16-64 - EA core or work-limiting disabled,,,,% economically inactive aged 16-64 - EA core disabled,,,,% economically inactive aged 16-64 - work-limiting disabled,,,,% economically inactive aged 16-64 - not EA core or work-limiting disabled,,,,Employment rate - aged 16-64,,,
Code,Area,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf,numerator,denominator,percent,conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,!,!,!,!,!,!,!,!,!,!,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,!,!,-
E09000002,Barking and Dagenham,"33,200","146,300",22.7,5.0,"32,300","146,300",22.0,5.0,"29,600","146,300",20.2,4.8,"112,600","146,300",77.0,5.0,"17,900","33,200",54.0,11.9,"17,000","32,300",52.6,12.1,"14,300","29,600",48.4,12.8,"90,100","112,600",80.0,5.6,"15,500","33,200",46.7,11.9,"14,500","32,300",45.1,12.1,"12,700","29,600",43.0,12.6,"85,000","112,600",75.5,6.0,"2,400","17,900",13.5,*,"2,400","17,000",14.3,*,"1,600","14,300",11.0,*,"5,100","90,100",5.6,*,"15,300","33,200",46.0,11.9,"15,300","32,300",47.4,12.1,"15,300","29,600",51.6,12.8,"22,600","112,600",20.0,5.6,"100,500","146,300",68.7,5.6
E09000003,Barnet,"52,600","262,300",20.1,4.8,"50,100","262,300",19.1,4.7,"42,500","262,300",16.2,4.5,"209,100","262,300",79.7,4.9,"28,000","52,600",53.2,13.6,"25,500","50,100",50.8,13.9,"19,200","42,500",45.2,15.1,"172,100","209,100",82.3,5.2,"26,300","52,600",49.9,13.6,"23,700","50,100",47.4,13.8,"17,500","42,500",41.1,14.9,"164,300","209,100",78.6,5.6,!,"28,000",!,!,!,"25,500",!,!,!,"19,200",!,!,"7,800","172,100",4.6,*,"24,600","52,600",46.8,13.6,"24,600","50,100",49.2,13.9,"23,300","42,500",54.8,15.1,"37,000","209,100",17.7,5.2,"191,200","262,300",72.9,5.4
E09000004,Bexley,"42,900","163,100",26.3,5.9,"36,300","163,100",22.2,5.5,"32,100","163,100",19.6,5.3,"116,900","163,100",71.6,6.0,"33,300","42,900",77.6,10.9,"28,000","36,300",77.3,12.0,"23,800","32,100",74.3,13.4,"104,600","116,900",89.5,4.8,"32,700","42,900",76.1,11.2,"27,400","36,300",75.5,12.3,"23,200","32,100",72.2,13.7,"100,200","116,900",85.7,5.5,!,"33,300",!,!,!,"28,000",!,!,!,"23,800",!,!,"4,400","104,600",4.3,*,"9,600","42,900",22.4,10.9,"8,200","36,300",22.7,12.0,"8,200","32,100",25.7,13.4,"12,200","116,900",10.5,4.8,"135,600","163,100",83.1,5.0
E09000005,Brent,"37,600","220,600",17.1,6.9,"34,900","220,600",15.8,6.7,"30,800","220,600",14.0,6.4,"178,500","220,600",80.9,7.2,"23,700","37,600",63.0,20.7,"21,000","34,900",60.1,22.0,"18,200","30,800",59.0,23.4,"144,400","178,500",80.9,8.1,"20,700","37,600",55.1,21.3,"18,000","34,900",51.5,22.5,"16,400","30,800",53.3,23.7,"137,300","178,500",76.9,8.7,!,"23,700",!,!,!,"21,000",!,!,!,"18,200",!,!,"7,200","144,400",5.0,*,"13,900","37,600",37.0,*,"13,900","34,900",39.9,*,"12,600","30,800",41.0,*,"34,000","178,500",19.1,8.1,"162,500","220,600",73.7,8.1
E09000006,Bromley,"47,800","213,100",22.4,5.0,"43,100","213,100",20.2,4.8,"35,800","213,100",16.8,4.5,"164,300","213,100",77.1,5.0,"26,100","47,800",54.5,12.8,"21,800","43,100",50.7,13.6,"16,100","35,800",45.1,15.2,"138,500","164,300",84.3,4.9,"25,200","47,800",52.8,12.8,"21,000","43,100",48.8,13.6,"15,300","35,800",42.7,15.1,"134,900","164,300",82.1,5.2,!,"26,100",!,!,!,"21,800",!,!,!,"16,100",!,!,"3,600","138,500",2.6,*,"21,700","47,800",45.5,12.8,"21,200","43,100",49.3,13.6,"19,600","35,800",54.9,15.2,"25,800","164,300",15.7,4.9,"161,200","213,100",75.6,5.1
E09000007,Camden,"38,900","188,800",20.6,6.0,"38,300","188,800",20.3,5.9,"30,300","188,800",16.1,5.4,"146,900","188,800",77.8,6.1,"21,200","38,900",54.6,14.4,"20,600","38,300",53.9,14.6,"14,000","30,300",46.2,16.3,"118,000","146,900",80.4,6.9,"19,200","38,900",49.3,14.4,"18,600","38,300",48.5,14.6,"12,000","30,300",39.4,16.0,"110,000","146,900",74.9,7.5,"2,100","21,200",9.7,*,"2,100","20,600",10.0,*,"2,100","14,000",14.7,*,"8,100","118,000",6.8,*,"17,700","38,900",45.4,14.4,"17,700","38,300",46.1,14.6,"16,300","30,300",53.8,16.3,"28,800","146,900",19.6,6.9,"130,300","188,800",69.0,6.8
E09000008,Croydon,"62,800","253,100",24.8,5.5,"59,400","253,100",23.5,5.4,"44,700","253,100",17.7,4.9,"184,600","253,100",72.9,5.7,"46,600","62,800",74.1,11.3,"43,100","59,400",72.6,11.9,"30,200","44,700",67.7,14.3,"160,000","184,600",86.7,5.1,"41,000","62,800",65.2,12.3,"39,100","59,400",65.7,12.7,"26,900","44,700",60.2,15.0,"154,200","184,600",83.5,5.5,"5,600","46,600",12.0,*,"4,100","43,100",9.5,*,!,"30,200",!,!,"5,800","160,000",3.6,*,"16,300","62,800",25.9,11.3,"16,300","59,400",27.4,11.9,"14,500","44,700",32.3,14.3,"24,600","184,600",13.3,5.1,"197,600","253,100",78.1,5.3
